Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,22.296875,True,FORWARD
scenario_1on,22.5625,True,FORWARD
scenario_1on,22.3125,True,FORWARD
scenario_1on,22.546875,True,FORWARD
scenario_1on,22.328125,True,FORWARD
scenario_1on,22.53125,True,FORWARD
scenario_1on,22.34375,True,FORWARD
scenario_1on,22.296875,True,FORWARD
scenario_1on,22.296875,True,FORWARD
scenario_1on,22.28125,True,FORWARD
scenario_1on,22.28125,True,FORWARD
scenario_1on,22.265625,True,FORWARD
scenario_1on,22.390625,True,FORWARD
scenario_1on,22.09375,True,FORWARD
scenario_1on,22.109375,True,FORWARD
scenario_1on,22.109375,True,FORWARD
scenario_1on,22.234375,True,FORWARD
scenario_1on,22.234375,True,FORWARD
scenario_1on,22.234375,True,FORWARD
scenario_1on,22.140625,True,FORWARD
scenario_1on,22.21875,True,FORWARD
scenario_1on,22.15625,True,FORWARD
scenario_1on,22.203125,True,FORWARD
scenario_1on,22.171875,True,FORWARD
scenario_1on,21.96875,True,FORWARD
scenario_1on,21.96875,True,FORWARD
scenario_1on,22.1875,True,FORWARD
scenario_1on,21.953125,True,FORWARD
scenario_1on,21.953125,True,FORWARD
scenario_1on,21.9375,True,FORWARD
scenario_1on,21.9375,True,FORWARD
scenario_1on,21.9375,True,FORWARD
scenario_1on,21.921875,True,FORWARD
scenario_1on,21.953125,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
